Genotype ID	B11	Na23	Mg25	Al27	P31	S34	K39	Ca43	Mn55	Fe57	Co59	Ni60	Cu65	Zn66	As75	Se82	Rb85	Sr88	Mo98	Cd111
GW-9850	0.61	1.83	29.6	1.48	18.51	18.18	72.98	182.9	4.62	1.73	0.86	1.05	0.9	19.78	-3.38	-0.39	1.73	8.25	-1.2	-0.46
GW-9851	0.61	1.85	30.07	1.5	18.47	17.86	80.81	189.6	5.18	1.66	1.83	1.79	0.99	19.63	-6.25	-0.57	1.7	8.77	-1.46	-0.56
GW-9852	0.61	1.83	36.47	1.51	19.85	18.89	74.78	230.59	4.84	1.76	0.83	1.07	0.94	24.45	-3.68	-0.33	2.15	11.1	-1.69	-0.74
GW-9853	0.61	1.78	35.44	1.54	19.34	19.72	63.25	224.93	4.51	1.79	1.26	1.24	1.04	22.58	-4.01	-0.48	1.59	11.44	-1.39	-0.56
GW-9854	0.61	1.81	33.97	1.39	17.94	17.68	75.41	177.57	4.8	1.78	1.44	1.41	1.05	18.07	-3.54	-0.75	1.54	7.94	-1.04	-0.65
GW-9857	0.61	1.78	32.16	1.41	19.21	18.83	77.35	235.91	5.55	1.79	1.1	0.35	1.07	21.14	-3.73	-0.05	2.12	12.21	-1.64	-0.68
GW-9858	0.61	1.77	32.97	1.67	18.85	18.73	89.3	214.15	5.18	1.69	1.55	0.09	0.99	16.46	-5.84	-0.64	2.28	10.86	-1.23	-0.22
GW-9860	0.61	1.81	31.43	1.69	19.81	19.77	78.52	228.86	6.14	1.71	2.24	1.34	0.92	25.92	-5.43	-0.43	2.58	12.0	-0.52	-0.27
GW-9862	0.61	1.76	33.66	1.43	19.15	19.23	68.92	213.97	5.51	1.7	1.88	1.16	1.08	26.98	-4.58	-0.48	1.62	11.14	-0.84	-0.24
GW-9863	0.61	1.86	33.17	1.65	18.49	18.08	78.95	187.74	4.18	1.75	0.46	0.34	0.95	17.54	-3.8	-0.85	1.48	8.53	-1.43	-0.88
GW-9864	0.61	1.78	31.64	1.52	19.37	18.78	73.48	162.98	6.01	1.81	0.91	1.43	0.99	20.52	-2.99	-0.33	2.19	6.51	-0.7	-0.88
GW-9865	0.61	1.81	32.62	1.45	18.24	18.25	78.69	185.34	5.78	1.76	0.96	1.09	1.04	18.2	-4.28	-0.57	1.95	8.46	-0.97	-0.8
GW-9869	0.61	1.88	44.72	1.54	19.98	20.28	64.83	324.46	5.85	1.76	2.14	0.3	1.01	28.34	-4.94	-0.08	2.09	18.0	-0.87	0.1
GW-9871	0.61	1.72	34.71	1.35	17.54	18.03	80.31	200.94	4.68	1.74	1.62	2.29	0.93	18.45	-4.62	-0.55	1.95	10.39	-0.84	-0.58
GW-9875	0.61	1.75	28.54	1.61	18.89	18.49	68.63	152.16	5.65	1.77	0.84	0.92	1.07	16.65	-2.9	-0.7	1.95	6.7	-1.12	-0.95
GW-9878	0.61	1.84	38.06	1.62	19.31	18.91	89.12	281.67	5.94	1.71	1.62	1.06	1.01	24.39	-5.65	-0.22	2.7	14.48	-0.73	0.1
