Genotype ID	B11	Na23	Mg25	Al27	P31	S34	K39	Ca43	Mn55	Fe57	Co59	Ni60	Cu65	Zn66	As75	Se82	Rb85	Sr88	Mo98	Cd111
BESC-872	220.03	57.88	1932	13.06	2199	1286	4519	9442	39.15	121.38	2.92	2.74	4.18	151.59	0.092	0.43	4.03	33.09	0.41	0.61
BESC-873	245.84	49.14	1841	12.86	3002	1906	8929	11543	44.61	69.74	2.5	3.99	8.03	239.17	0.063	0.69	6.51	39.38	0.25	0.72
BESC-874	254.96	45.07	1284	9.71	2388	1822	8438	9827	68.68	96.32	2.23	2.28	6.47	173.09	0.087	0.68	8.91	38.02	0.12	0.88
BESC-877	192.35	31.08	1532	11.63	2168	1509	5897	6550	48.35	73.89	2.96	3.09	7.45	77.72	0.062	0.75	3.28	21.63	0.33	0.48
BESC-878	210.35	29.58	1452	44.27	2351	1810	7597	10113	118.94	71.33	4.16	2.26	5.52	158.26	0.067	0.7	5.34	41.14	0.36	0.88
BESC-880	439.22	35.8	1376	8.17	2336	1576	6116	6899	42.65	144	2.67	2.5	5.14	151.43	0.122	0.67	3.24	23.94	0.25	0.45
BESC-881	248.57	37.17	1930	7.26	2401	1594	5931	10251	44.01	106.88	4.24	3.04	4.63	166.83	0.082	0.5	6.96	36.19	0.34	0.65
BESC-882	263.62	47.66	1912	11.47	2852	1700	7818	13978	83.94	113.29	2.89	2.69	14.07	145.03	0.073	0.64	5.6	48.37	0.29	0.9
BESC-883	322.75	43.44	2113	12.94	2878	1535	6001	10256	31.84	81.3	1.75	3.01	5.06	180.45	0.066	0.56	3.28	35.53	0.4	0.44
BESC-885	250.98	53.97	1403	12.77	2720	1764	8196	8451	47	194.83	3.32	3.59	6.1	107.77	0.093	0.71	12.1	26.35	0.2	0.41
BESC-886	219.3	29.57	2331	11.61	2549	1712	7580	12941	104.2	110.01	4.44	2.23	6.04	182.33	0.1	0.6	6.69	49.72	0.44	0.67
BESC-887	466.96	65.18	2123	31.17	2056	1545	4939	7016	36.54	100.35	2.44	2.63	12.99	84.22	0.109	0.45	5.17	24.79	0.42	0.39
BESC-888	206.93	28.94	1621	12.97	2605	1891	6764	9010	61.46	87.1	4.44	2.61	6.63	152.63	0.095	0.54	5.79	32	0.35	0.68
BESC-890	222.6	49.3	2138	12.03	1956	1734	4866	7935	58.18	129.97	3.64	3.17	4.33	130.03	0.075	0.69	6.46	28.42	0.42	0.74
BESC-892	202.97	38.14	1719	16.19	2316	1683	6164	8002	39.74	103.2	2.61	3.98	5.09	133.26	0.099	0.6	4.49	28.08	0.34	0.59
BESC-893	212.02	37.72	1296	26.83	2634	1766	9225	7995	135.31	227.78	3.53	1.59	6.86	193.36	0.118	0.53	8.18	26.11	0.34	0.68
BESC-896	463.29	40.3	1431	9.81	2347	1729	6480	6717	44.91	130.55	2.08	1.88	5.02	103.41	0.107	0.63	4.07	24.39	0.22	0.32
BESC-897	291.17	52.72	2361	17.3	2361	1983	8346	17006	101.64	77.74	6.18	4.21	6.55	148.37	0.075	0.77	9.36	64.7	0.31	1.46
BESC-898	231.89	38.9	1862	10.56	2391	1809	7618	12788	74.64	124.38	2.31	2.88	5.49	195.7	0.084	0.63	3.55	48.82	0.22	0.94
BESC-9	263.46	73.35	2190	9.73	2284	1806	6696	10196	55.96	84.6	5.43	3.65	4.44	148.89	0.077	0.58	7.13	35.15	0.18	1.17
BESC-90	344.05	67.58	1923	15.71	2647	1812	9035	7804	81.14	197.06	3.08	3.01	6.37	142.21	0.134	0.62	4.24	23.17	0.12	0.52
BESC-900	225.41	46.6	1267	15.36	2800	1808	9911	6183	76.42	176.78	2.65	2.5	6.77	139.88	0.146	0.56	4.35	20.98	0.19	0.46
BESC-901	262.09	29.72	1964	18.78	2733	1953	8601	12315	109.76	69	4.71	2.7	5.68	242.47	0.08	0.55	6.67	45.19	0.59	0.86
BESC-902	426.63	31.45	1772	13.5	2264	1664	6693	6938	36.5	129.64	1.89	4.71	5.24	151.23	0.17	0.6	4.27	24.37	0.29	0.3
BESC-903	204.87	35.07	1803	16.42	2474	1980	7746	8175	106.69	238.48	3.66	1.38	6.13	214.16	0.119	0.7	7.59	26.72	0.32	0.53
BESC-905	202.1	40.45	1191	13.23	2555	1699	9786	7221	60.95	70.67	4.12	3.35	5.14	145.01	0.052	0.62	5.46	23.28	0.2	0.57
BESC-906	404.53	33.73	1544	11.3	2195	1705	6515	5244	62.68	257.35	2.47	1.91	4.54	106.58	0.139	0.93	3.32	16.86	0.22	0.38
BESC-907	260.55	70.72	1940	11.24	2368	1751	7600	10458	56.29	150.9	4.1	2.9	5.72	214.07	0.13	0.55	7.81	39.52	0.22	0.79
BESC-909	415.09	26.21	1436	28.34	2684	1808	10201	9770	92.36	89.43	5.16	3.73	6.52	222.62	0.089	0.67	9.17	35.9	0.46	0.82
BESC-910	205.74	30.81	1305	9.18	1968	1374	5317	10779	48.82	61.68	3.4	2.85	4.25	110.54	0.068	0.66	5.89	38.43	0.14	0.97
BESC-911	246.76	29.51	1493	19	2467	1796	6716	10247	87.17	62.06	7.03	3.02	8.48	207.05	0.057	0.75	4.21	38.17	0.33	0.92
BESC-92	307.38	78.81	2291	12.68	2280	1582	6962	11238	51.79	91.86	5.78	4.67	5.58	240.75	0.096	0.73	6.58	37.2	0.27	0.75
BESC-96	231.05	45.19	2018	11.62	2898	1923	8621	12801	126.76	65.39	5.15	2.73	6.01	317.81	0.069	0.72	5.54	42.93	0.35	1.31
BLCG-28-1	221.95	36.26	1550	11.16	2271	1659	8817	6839	66.49	60.75	3.72	1.99	5.5	150.62	0.058	0.62	6.75	22.38	0.37	0.5
BLCG-28-3	227.39	26.16	1891	17.22	2562	1812	7711	10496	135.74	90.88	5.88	2.78	8.83	258.84	0.113	0.7	7.1	38.32	0.36	0.84
CA-02-01	253.25	40.01	2149	9.35	2039	1448	4159	7003	73.17	90.39	1.12	1.76	5.45	95.05	0.107	0.62	2.06	24.69	0.1	0.57
CA-03-01	228.31	43.53	1693	8.17	2663	1676	6924	8618	99.48	121.83	1.86	3.62	6.59	149.45	0.058	0.55	3.23	32.17	0.04	1.05
CA-04-04	407.03	48.63	2925	8.27	3335	2032	7379	10396	83.66	109.15	8.59	4.97	10.78	157.65	0.062	0.77	5.16	34.26	0.19	0.72
CA-04-05	317.16	103.35	1656	11.17	2213	1345	6059	6089	22.5	39.64	1.37	2.15	4.65	98.71	0.054	0.71	3.06	23.86	0.06	0.36
CA-05-01	393.75	86.95	1285	218.29	2144	1564	8752	5544	82.99	95.47	2.02	2.29	5.3	108.11	0.103	0.55	5.06	19.51	0.2	0.64
CA-05-04	524.37	46.97	2555	11.23	2278	1947	5304	9618	79.37	63.15	3.72	3.31	4.63	124.48	0.074	0.76	4.47	37.48	0.41	0.95
CHWH-27-1	254.84	51.22	1948	8.28	2315	1673	5475	10484	43.42	68.9	3.66	2.51	6.97	118.53	0.046	0.65	3.98	36.99	0.21	0.66
CHWH-27-5	213.73	25.95	1542	14.26	2382	1660	6131	7326	83.79	100.23	3.26	1.99	5.12	120.14	0.098	0.45	4.05	26.14	0.18	0.51
CHWJ-27-2	200.76	37.61	1580	12.49	2000	1693	6475	7918	79.34	56.53	4.94	2.42	6.2	120.14	0.044	0.57	4.12	28.04	0.45	0.95
CHWK-27-3	330.44	27.9	1548	8.72	1977	1579	5340	5079	55.61	142.84	2.47	2.66	4.71	97.94	0.098	0.66	3.34	17.02	0.3	0.49
CMBF-28-1	232.44	39.83	2183	11.11	2441	1851	6140	10506	54.57	77.93	4.42	3.51	6.32	127.63	0.076	0.48	7.3	36.12	0.37	0.78
CMBF-28-3	229.78	41.46	2050	12.37	2616	1891	6967	11683	58.4	84.01	5.02	3.99	6.99	210.4	0.076	0.83	8.4	45.06	0.33	1.32
CMBF-28-4	215.19	32.68	1632	14.38	2551	1728	7485	6962	63.8	102.43	4.76	2.74	5.83	152.97	0.071	0.53	5.89	20.97	0.4	0.74
CNYH-28-2	244.08	41.98	1278	22.16	2726	1882	10142	9512	54.15	72.34	4.99	4.19	14.29	193.97	0.085	0.58	10.5	36.3	0.22	0.92
CNYH-28-3	206.9	33.09	1707	11.52	2392	1630	7447	10406	66.18	59.05	5.12	3.35	5.04	112.84	0.08	0.62	9.25	34.85	0.2	0.86
CNYH-28-4	265.55	33.99	1398	21.71	2768	1922	10161	9878	84.58	71.86	8.26	4.4	7.73	186.64	0.06	0.64	9.19	35.72	0.43	0.75
DENA-17-4	234.79	25.66	2183	21.92	2033	1386	4890	8081	51.83	51.31	5.52	5.81	7.57	110.6	0.076	0.65	10.43	25.28	0.18	0.55
DENB-17-1	459.59	42.62	1228	10.57	2602	1947	8379	5607	72.06	74.74	5.1	2.2	8.56	185.45	0.078	0.78	6.44	16.95	0.71	0.59
DENB-17-3	391.67	48.79	1739	5.47	2306	1710	5905	10498	40.93	65.01	2.57	2.79	5.85	150.62	0.105	0.57	4.65	38.15	0.27	0.8
DENB-17-5	269.41	37.89	1749	46.4	2373	1862	7230	8715	88.9	71.43	7.1	6	9.25	98.99	0.068	0.65	8.88	28.74	0.4	1.12
DENC-17-4	191.99	39.71	1852	5.55	2343	1537	7188	8368	78.26	79.42	2.12	1.84	8.01	116.06	0.067	0.53	4.12	23.7	0.26	2
DEND-17-1	210.31	38.22	1598	11.88	2426	1616	7201	7695	80.64	66.88	3.5	2.78	6.46	153.84	0.07	0.61	4.85	25.42	0.3	0.59
DEND-17-4	402.68	47.1	1889	19.86	2604	2018	7605	10569	108.34	123.96	6.42	3.02	6.78	208.49	0.085	0.55	7.2	38.53	0.6	0.79
FNYI-28-4	222.7	64.08	1119	7.5	2156	1263	10098	4333	24.08	77.54	2.7	3.62	4.58	85.2	0.095	0.65	8.64	13.5	0.28	0.31
GLCB-26-1	224.27	57.54	940	15.03	2273	1543	7986	5619	45.41	51.85	6.17	3.96	5.41	139.32	0.055	0.56	4.9	19.15	0.27	0.47
GW-10956	226.88	50.71	1952	17.39	2687	1682	9260	7799	172.35	161.24	4.55	2.88	5.89	225.59	0.136	0.8	8.68	29.98	0.41	1.65
GW-10957	246.6	54.87	1405	25.32	2568	1686	7398	6397	74.74	111.78	5.3	2.51	6	202.2	0.08	0.56	6.01	22.91	0.32	0.6
GW-10958	376.41	36.09	1236	13.4	2622	1720	8131	9502	93.29	66.03	6.34	2.46	6.52	174.34	0.058	0.75	4.17	34.17	0.27	1.55
GW-10982	321.22	47.23	1971	8.3	2421	1667	6142	10273	62.19	138.37	2.56	2.53	4.47	125.76	0.106	0.57	4.52	37.04	0.17	1.29
GW-10983	187.82	28.78	804	8.78	1981	1197	6396	5649	32.07	78.15	1.67	1.48	3.81	105.52	0.067	0.56	4.67	19.4	0.11	0.34
GW-10984	195.63	44.1	1461	27.65	2079	1638	6131	8692	73.59	66.8	4.98	4.41	4.58	83.38	0.052	0.57	3.91	33	0.3	0.65
GW-10987	362.18	31.01	1399	8.3	1880	1278	4733	7192	33.23	125.67	1.35	1.19	2.89	86.09	0.113	0.65	3.42	26.83	0.21	0.36
GW-10989	215.33	54.72	1778	14.25	2458	1725	7185	9185	56.4	65.43	4.18	3.2	5.15	84.51	0.071	0.68	8.36	30.96	0.29	0.65
GW-10992	254.03	44.79	1297	18.66	2027	1424	6691	4866	57.22	64.06	4.29	2.42	10.73	146.12	0.083	0.5	7	17.31	0.44	0.46
GW-10993	270.81	52.57	2422	23.65	3198	2096	9436	8359	96.72	163.35	7.36	4.43	8.2	206.79	0.165	0.63	9.86	28.11	0.33	0.69
GW-10995	252.01	75.09	2085	14.43	3312	1683	6142	9203	43.81	116.08	1.91	1.8	4.51	140.01	0.085	0.61	4.21	28.6	0.29	0.62
GW-10997	231.37	27.16	1074	31.36	1999	1356	6806	5624	51.94	54.92	2.74	1.64	5.18	87.26	0.056	0.47	5.16	21.6	0.29	0.3
GW-10999	200.21	23.04	1719	10.4	2864	1843	8176	10099	103.35	164.3	1.82	1.75	6.66	174.7	0.141	0.69	5.37	37.76	0.21	0.86
GW-11001	264.51	112.15	1687	10.55	2439	1606	8610	9155	47.35	105.25	3.57	2.87	5.67	106.95	0.114	0.52	7	32.93	0.12	0.8
GW-11011	289.62	37.36	1897	8.54	2707	1734	6323	10136	71.75	59.47	3.05	1.78	4.59	133.26	0.057	0.52	4.66	41.93	0.37	1
